Word,Semantic Orientation Value
autonomous,102.595997287
day,74.5923936053
auto,67.1979537487
car,63.0891322622
amp,61.3199661459
ford,58.5628261828
a-ugv,58.1485382108
cross,53.6277545396
autos,52.4839898106
going,51.8391172464
bus,51.4971423871
2016,50.4833396883
allow,49.837141478
for,49.7995435615
excited,49.20521375
innovation,48.4128421897
depressed,48.387373783
automotiveux,47.1875145774
know,45.9563170227
come,45.6365918747
enough,45.470218266
how,44.7348659835
algorithm,44.4987999818
selfdriving,44.1519098811
looks,44.0165782999
sure,42.887129146
crazy,42.5546301607
follow,41.1575389467
new,41.1201863692
kindness,40.8880990537
king,40.8880990537
future,39.9155801297
honored,39.8781149652
intellos,39.5022252442
autonomousvehicle,39.4730615545
businessinsider,39.3957808911
challenges,39.0643320678
downesr,38.9287410382
service,38.8714638471
feel,38.8538875847
pittsburg,38.5410429165
even,38.4693843161
engineer,38.303136553
artificialintelligence,37.6233930375
huge,37.5729686523
pedestrians,37.5664555961
americans,37.3855987132
mass,36.9287410382
face,36.837141478
maybe,36.6950982581
areas,36.630711211
back,36.6166238041
atonomus,35.8880990537
can,35.8326028461
iot,35.8116271751
elon,35.7458038515
adopt,35.5661709588
development,35.4424778276
au…,34.8409965895
anybody,34.7952173654
autonomous…,34.5072772698
home,34.1511334596
2025,33.5015214513
energy,33.4730615545
road,33.1688921123
selfdrivinguber,32.6877524297
daily,32.226320956
made,32.226320956
let,32.1514180969
automotive,31.9984267949
give,31.7496786367
clusterstock,31.6783541453
automated,31.6697451107
get,31.6286949106
'the,31.5778649819
enjoy,31.5661709588
data,31.5072772698
box,31.3720160368
autonews,31.2894446212
chi,31.1734957692
issues,30.899946956
articles.,30.6538138351
audi,30.4921772104
company,30.3921177648
..hug,30.3720160368
economies,30.3720160368
congestion,30.3720160368
...,30.2103389378
end,30.1424510686
analytics_auto1,30.1094743079
've,29.9372534104
chauffeured,29.8032906659
positivity,29.7870535361
entrepreneur,29.7800647261
article,29.6155357908
rww,29.5795078715
learn,29.4932189731
growth,29.3823481371
gift,29.3720160368
the,29.1625315629
got,29.0632698396
technology,28.8089874074
continue,28.3720160368
becoming,28.3720160368
cars-,28.2919748285
generation,28.2020910353
robotics,28.0888796004
automobiles,28.0755206096
cream,28.0500879419
commutes,28.0500879419
experts,27.9722196749
gains,27.7870535361
interested,27.7837267981
part,27.7628545151
read,27.7503725928
emerging,27.6171285346
big,27.6169635364
inteliot,27.5847749269
here,27.4910704622
human,27.4735727982
easy,27.4651254412
hands,27.4189660339
productivity,27.3720160368
michigan,27.3142415148
'smiling,27.3125204154
important,27.2704657885
imagine,27.1329622648
dosmthngormvovr,27.0500879419
improvement,27.0500879419
extremely,27.0500879419
asisabuja2016,26.979698614
cameroon,26.979698614
bendskin,26.979698614
overlords,26.8801629405
fast,26.8748022311
faster,26.85773845
corner,26.7668893373
pamec08,26.728159847
3am,26.728159847
coming,26.7231935037
safe,26.6795124319
avoid,26.6436502668
robot,26.5824323267
plow,26.3720160368
complaint,26.3720160368
farmtech,26.3720160368
analytics,26.3442838543
automatics,26.3442838543
driverlesscars,26.266906263
galway,26.2427330198
fascinated,26.2427330198
devices,26.1028509478
safety,26.0835167918
farming,25.9656014748
subway,25.9125844181
great,25.9061800982
believe,25.8857528261
kvogt,25.8801629405
disruptsf,25.8801629405
system,25.8274218838
chicago,25.7926739852
bestyoupro,25.728159847
concept,25.4755167944
driverlessnow,25.2513150152
google,25.2305412146
boston,25.1883052177
drlovelace,25.0866138179
convo,25.0866138179
drugcartellord,24.8484540807
crashes,24.7573061927
cities,24.726619561
businessmodel,24.6715763186
fledged,24.603831712
damage,24.5776001704
not,24.5549824242
deeplearning,24.527058178
intellos…,24.5140350417
gro,24.5140350417
roboticstmrw,24.5140350417
