Word,PMI Value
techshare,8.8468042303
rnib,8.8468042303
neat,8.8468042303
googlemaps,8.8468042303
surveys,8.8468042303
googleautonomouscar,8.58376982446
indeed,8.26184172957
loses,7.98430775405
patents,7.90569791935
hires,7.8468042303
respond,7.8468042303
selfdrivngcar,7.8468042303
googlebike,7.8468042303
solved,7.8468042303
“they,7.8468042303
hinges,7.8468042303
roger,7.8468042303
tight,7.8468042303
mbrainfr,7.8468042303
technica,7.8468042303
monthly,7.8468042303
yields,7.8468042303
russellmanthy,7.8468042303
leo,7.8468042303
identity,7.8468042303
hc_vehicles,7.8468042303
salon,7.8468042303
spots,7.8468042303
theyre,7.8468042303
weirdest,7.8468042303
ve…,7.8468042303
rouge,7.8468042303
googleplex,7.8468042303
starintech,7.8468042303
sales,7.8468042303
it…,7.8468042303
while,7.8468042303
reads,7.8468042303
macmembers,7.8468042303
stuff,7.8468042303
heats,7.8468042303
tapped,7.8468042303
sputtering,7.8468042303
page,7.8468042303
lanctot,7.8468042303
yandexcom,7.8468042303
washington,7.8468042303
pacifica,7.8468042303
service-sensing,7.8468042303
landscape,7.8468042303
wars,7.8468042303
overtakes,7.8468042303
struggle,7.8468042303
intellectual,7.8468042303
guardian,7.8468042303
scenarios,7.8468042303
ottopilot,7.8468042303
loosing,7.8468042303
selfdriven,7.8468042303
search,7.8468042303
larrypage,7.8468042303
veille,7.8468042303
property…,7.8468042303
mountain,7.8468042303
spent,7.8468042303
natsfoty1,7.8468042303
pro…,7.8468042303
larry,7.8468042303
subscription,7.8468042303
urbanmobility,7.8468042303
lagging,7.8468042303
sfbusinesstimes,7.8468042303
unscrewing,7.8468042303
seeks,7.8468042303
thorpesi,7.8468042303
sthlmtech,7.8468042303
suggest,7.8468042303
stuck,7.8468042303
tougher,7.8468042303
weird,7.8468042303
navigation,7.8468042303
tweak,7.8468042303
uspto,7.8468042303
lawmakers,7.8468042303
sfgate,7.8468042303
health,7.8468042303
sthl…,7.8468042303
tay,7.8468042303
van,7.8468042303
news…,7.8468042303
rivals,7.78267389288
police,7.70241432096
literally,7.67687922885
losing,7.66623198465
pioneer,7.64035335283
thegooglecar,7.62441180896
leaders,7.58376982446
made,7.48423415091
svbizjournal,7.43176673102
mich.,7.43176673102
woman,7.43176673102
ideal,7.38737261166
mapping,7.37731894699
maps,7.3162895136
happening,7.31075133006
googlecar,7.28831394094
tomorrow,7.26184172957
yahoo,7.26184172957
ndew2016,7.26184172957
legislation,7.26184172957
tries,7.26184172957
reason,7.06919665163
technews,7.06092903565
lol,7.03944930824
to…,7.03944930824
out,6.99880732374
readwrite,6.8468042303
sharekarle,6.8468042303
recent,6.8468042303
projects,6.8468042303
roadsafety,6.8468042303
sdtd,6.8468042303
unless,6.8468042303
impossible,6.8468042303
nuro,6.8468042303
very,6.8468042303
hardware,6.8468042303
selfdriv…,6.8468042303
reboot,6.8468042303
party,6.8468042303
lights,6.8468042303
where,6.8468042303
late,6.8468042303
individual,6.8468042303
trip,6.8468042303
spaces,6.8468042303
romainvigue,6.8468042303
project,6.70930070655
saw,6.70930070655
team,6.64035335283
things,6.58376982446
view,6.5666963111
halt,6.52487613541
meetup,6.52487613541
ongoing,6.52487613541
success,6.52487613541
insights,6.52487613541
left,6.29931643499
survival,6.26184172957
regulators,6.26184172957
lneckermann,6.26184172957
onboard,6.26184172957
trouble,6.26184172957
learned,6.26184172957
partnering,6.26184172957
mail,6.26184172957
leadership,6.26184172957
protect,6.26184172957
hightech,6.26184172957
makers,6.26184172957
whether,6.26184172957
london,6.18383921757
pull,6.10983863613
retweeted,6.03944930824
truly,6.03944930824
insider,5.89260791991
travel,5.8468042303
pretty,5.8468042303
has,5.8468042303
green,5.8468042303
partners,5.8468042303
siliconvalley,5.8468042303
hey,5.67687922885
startups,5.67687922885
replace,5.52487613541
otto,5.52487613541
research,5.52487613541
riding,5.52487613541
liability,5.52487613541
toyota,5.52487613541
picked,5.52487613541
stop,5.52487613541
progress,5.52487613541
poll,5.52487613541
leader,5.52487613541
relationship,5.38737261166
personality,5.26184172957
your,5.26184172957
keep,5.26184172957
review,5.26184172957
who,5.26184172957
meet,5.18383921757
two,5.18383921757
reports,5.03944930824
results,5.03944930824
sees,5.03944930824
releases,5.03944930824
say,5.01672923174
take,4.9959476696
why,4.95927895955
sure,4.8468042303
space,4.8468042303
regular,4.8468042303
others,4.8468042303
key,4.8468042303
there,4.8468042303
our,4.8468042303
patent,4.8170568869
tech,4.70990802924
wants,4.67687922885
talent,4.67687922885
partner,4.67687922885
recode,4.67687922885
michigan,4.59887671685
open,4.52487613541
impact,4.52487613541
off,4.52487613541
thanks,4.52487613541
solutions,4.52487613541
what,4.503396408
vehicle,4.46214038006
with,4.45448680752
race,4.38737261166
shows,4.38737261166
would,4.35495113397
top,4.30248371407
trucks,4.28608927582
mobile,4.26184172957
maybe,4.26184172957
show,4.26184172957
google’s,4.26184172957
interesting,4.22231336539
iot,4.18806380344
rww,4.17437888832
tesla,4.14636451215
seen,4.14636451215
thing,4.14636451215
teslamotors,4.14636451215
reuters,4.14636451215
startup,4.10264313473
world,4.03944930824
hear,4.03944930824
story,4.03944930824
major,3.93991363469
valley,3.93991363469
looks,3.93991363469
want,3.89260791991
still,3.89260791991
silicon,3.8468042303
live,3.8468042303
yet,3.8468042303
pedestrians,3.80241011094
n't,3.80241011094
said,3.75934138905
they,3.67687922885
seems,3.67687922885
robot,3.65697967142
street,3.59887671685
week,3.59887671685
technology,3.55612706939
rolling,3.52487613541
know,3.48925222568
self-driving,3.39885605017
part,3.38737261166
selfdriving,3.3245100204
years,3.26184172957
now,3.23209438618
selfdrivingcars,3.20294804052
russian,3.11888377573
plan,3.03944930824
report,3.03944930824
strategy,3.03944930824
human,2.93991363469
well,2.89260791991
mobility,2.89260791991
plans,2.8468042303
safe,2.8468042303
machinelearning,2.8468042303
here,2.80241011094
wired,2.80241011094
learn,2.80241011094
market,2.80241011094
try,2.75934138905
shuttle,2.73827977352
ready,2.71752121335
next,2.67687922885
vehicles,2.67687922885
innovation,2.66358240624
think,2.63735086467
robotics,2.63735086467
working,2.59887671685
trust,2.56140201143
industry,2.48925222568
the,2.44592479401
news,2.36567754056
use,2.35495113397
watch,2.26184172957
self,1.96416118093
see,1.93991363469
look,1.91606689273
never,1.82443641727
uber,1.73771478622
people,1.7072528779
you,1.40386073445
service,1.37107079933
need,1.35495113397
win,1.32324227424
how,1.18859274754
road,0.927940993021
selfdrivinguber,0.605218243726
like,0.346958343213
cussed,0.0
foul,0.0
pamperedly,0.0
aggression,0.0
rupture,0.0
scold,0.0
originality,0.0
superficially,0.0
outwit,0.0
lorn,0.0
fatcat,0.0
sputter,0.0
immature,0.0
sinking,0.0
slothful,0.0
befoul,0.0
tantalizing,0.0
irksomely,0.0
disturb,0.0
prize,0.0
brutish,0.0
stereotypical,0.0
steadfastness,0.0
non-violent,0.0
inevitably,0.0
mirage,0.0
elegant,0.0
rusty,0.0
valiant,0.0
rusts,0.0
loathing,0.0
haughtily,0.0
errors,0.0
ruthless,0.0
bonuses,0.0
resilient,0.0
succumb,0.0
insinuation,0.0
hero,0.0
jubilantly,0.0
fissures,0.0
shriek,0.0
bullyingly,0.0
doldrums,0.0
revengefully,0.0
uplifting,0.0
unwillingness,0.0
unfriendly,0.0
controversy,0.0
unwanted,0.0
spotty,0.0
criticism,0.0
golden,0.0
mawkishness,0.0
stern,0.0
scarier,0.0
cheating,0.0
catchy,0.0
best-selling,0.0
impartiality,0.0
exhort,0.0
glimmering,0.0
cannibal,0.0
strike,0.0
perilously,0.0
holy,0.0
successful,0.0
mesmerize,0.0
hurt,0.0
exuberantly,0.0
exhorbitant,0.0
irksome,0.0
famed,0.0
